Combined Feature,Weight,Class,Feature,l1,l2,dist,dist_pix,a,angl
mean_test_dist_3_angl_2,0.081664358335081,Class 0,mean,test,dist,3,10,angl,2
energy_test_dist_3_angl_4,0.087138830856757,Class 0,energy,test,dist,3,10,angl,4
energy_test_dist_3_angl_1,0.088642926267208,Class 0,energy,test,dist,3,10,angl,1
mean_test_dist_3_angl_4,0.134596475251126,Class 0,mean,test,dist,3,10,angl,4
std_test_dist_3_angl_2,0.153567732628155,Class 0,std,test,dist,3,10,angl,2
ASM_test_dist_3_angl_3,0.158050234112599,Class 0,ASM,test,dist,3,10,angl,3
dissimilarity_test_dist_3_angl_2,0.241639204761514,Class 0,dissimilarity,test,dist,3,10,angl,2
correlation_test_dist_3_angl_3,0.265301539242178,Class 0,correlation,test,dist,3,10,angl,3
entropy_test_dist_3_angl_4,0.281249298773593,Class 0,entropy,test,dist,3,10,angl,4
dissimilarity_test_dist_3_angl_1,0.42311646517228,Class 0,dissimilarity,test,dist,3,10,angl,1
contrast_test_dist_4_angl_4,-0.41743898866011,Class 0,contrast,test,dist,4,5,angl,4
contrast_test_dist_4_angl_2,-0.208227666177661,Class 0,contrast,test,dist,4,5,angl,2
homogeneity_test_dist_4_angl_2,-0.167454395244833,Class 0,homogeneity,test,dist,4,5,angl,2
homogeneity_test_dist_4_angl_1,-0.164647019425199,Class 0,homogeneity,test,dist,4,5,angl,1
variance_test_dist_4_angl_1,-0.137970030126251,Class 0,variance,test,dist,4,5,angl,1
correlation_test_dist_4_angl_4,-0.115266742308109,Class 0,correlation,test,dist,4,5,angl,4
mean_test_dist_4_angl_1,-0.108764842260023,Class 0,mean,test,dist,4,5,angl,1
ASM_test_dist_4_angl_2,-0.077557986153926,Class 0,ASM,test,dist,4,5,angl,2
energy_test_dist_4_angl_3,-0.068156068554587,Class 0,energy,test,dist,4,5,angl,3
variance_test_dist_4_angl_3,-0.064589888586151,Class 0,variance,test,dist,4,5,angl,3
mean_test_dist_4_angl_4,-0.048872999854126,Class 0,mean,test,dist,4,5,angl,4
entropy_test_dist_4_angl_2,-0.048871391050824,Class 0,entropy,test,dist,4,5,angl,2
