name,d,a,Dist_pix,Angle_rad,ROC_precise,ROC,bias,ASM,contrast,correlation,dissimilarity,energy,entropy,homogeneity,mean,std,variance
n_t_d_3_a_3_SVM_C_1_k_linear,[10],[0.78539816],10,0.78539816,0.72607086197779,0.73,-0.034768020203393,-0.011127031001379,-0.48169383671913,0.580284556603677,0.963359188214189,-0.339891906145768,-0.023943174601114,0.308864506057931,-1.68587771907803,2.24560299020039,-0.804987958104649
n_t_d_10_a_1_SVM_C_1_k_linear,[7],[0],7,0,0.727128503437335,0.73,-0.05941073256182,0.242473702204166,-0.631397615734342,0.621961126131226,1.44107017885868,-0.174515887213715,-0.331750017522661,-0.281391042356474,-1.7965807642589,2.03252580976138,-0.727570383003431
n_t_d_4_a_4_SVM_C_1_k_linear,[5],[-0.78539816],5,-0.78539816,0.727657324167107,0.73,-0.08650787988426,-0.022514006128727,0.498923114819777,1.19695712041866,0.835289234333392,-0.178241572690455,0.006566780199785,-0.005863056515437,-2.06284657950998,1.60579313026689,-1.05251404550501
n_t_d_9_a_4_SVM_C_1_k_linear,[6],[-0.78539816],6,-0.78539816,0.727657324167107,0.73,-0.08650787988426,-0.022514006128727,0.498923114819777,1.19695712041866,0.835289234333392,-0.178241572690455,0.006566780199785,-0.005863056515437,-2.06284657950998,1.60579313026689,-1.05251404550501
n_t_d_2_a_3_SVM_C_1_k_linear,[20],[0.78539816],20,0.78539816,0.728714965626653,0.73,-0.01237711352376,0.136394102758583,-1.05558550548953,0.297070019181676,1.33702947833981,-0.078885099538323,-0.091062964692064,-0.018182675938527,-1.43147971762006,2.33745160902299,-0.687288415034366
n_t_d_15_a_3_SVM_C_1_k_linear,[13],[0.78539816],13,0.78539816,0.728714965626653,0.73,-0.069789312293571,0.180925439436363,-0.69810787795813,0.502868051074454,1.12171748746401,-0.265618507004357,-0.034932408687757,0.126544842451186,-1.5810633325441,2.29442444842451,-0.788511912872033
n_t_d_11_a_1_SVM_C_1_k_linear,[8],[0],8,0,0.729508196721311,0.73,-0.029386267371662,0.150004531841343,-0.697062653046422,0.506616866203003,1.44578287615365,-0.118889880478033,-0.40061966916789,-0.259341360971447,-1.6440004444311,1.97002663398035,-0.670180941520323
n_t_d_14_a_1_SVM_C_1_k_linear,[12],[0],12,0,0.729508196721311,0.73,-0.04002145479027,-0.130731416315091,-0.901812368460134,0.140413229454516,1.27162142900984,-0.252473073325548,-0.71495819827363,-0.090680864642517,-1.28312855711924,2.16201113327339,-0.550481977336006
n_t_d_2_a_1_SVM_C_1_k_linear,[20],[0],20,0,0.73030142781597,0.73,-0.047818339126832,-0.255610446384436,-0.888534004860048,-0.012619484150048,1.06964837660091,-0.104236870747159,-0.416998893576151,0.084349865449631,-1.2242508335542,2.32873618183989,-0.567865269091505
n_t_d_4_a_1_SVM_C_1_k_linear,[5],[0],5,0,0.73030142781597,0.73,-0.104909870553388,0.266021993246002,-0.583988164472361,1.01387108352955,1.41425368098955,0.061941767516203,0.028125878582795,-0.359878289725896,-2.20621246319742,1.88016502846376,-0.516541313036631
